Carimbo de data/hora,Gostaria de cozinhar pratos exóticos? Pratos fora da rotina? Ou algum prato de família que nunca cozinhou?,Já tentou alguma vez e percebeu que não teria todos os ingredientes necessários na sua geladeira?,Pense em uma comida de sua escolha. Você sabe como prepará-la passo-a-passo? Sabe ou teria os ingredientes necessários?,Sobre o protótipo: você investiria no projeto ou usaria o produto?
08/05/2021 12:23:38,"Sim, muitos pratos estrangeiros são de meu interesse para experimentar e preparar.",
"Não, eu sempre verifico a disponibilidade dos ingredientes ou compro de acordo com o que pretendo preparar.",Sim. Muitas receitas eu tenho memorizadas.,"Não tenho muito interesse em investir em projetos em que não participo diretamente, a depender dos envolvidos. Mas usaria para testar e recomendar, se realmente me agradar, usaria sempre."
08/05/2021 12:26:30,Sim,Sim,Sim,Usaria o produto 
08/05/2021 12:37:10,Sim gostaria,Não,"Eu tenho poucas dúvidas sobre os passos, porém tenho os ingredientes necessários",Eu utilizaria o produto
08/05/2021 13:16:21,Tenho interesse,Sim,Não ,"Usaria o app, pois parece facilitar muito na hora de cozinhar"
08/05/2021 13:17:50,Sim,Sim,Não,Sim
08/05/2021 13:51:11,Sim,"Não, pois nunca tentei",Lagosta - Não saberia como prepará-la e não teria os ingredientes necessários,"Sim, mas não por uma quantia muito alta de dinheiro"
08/05/2021 14:11:52,sim! sim e sim :),"com certeza, sempre falta uma essencia de baunilha nos meus bolos ;-;","não, sempre tenho que olhar uma receita. e provavelmente n.",sim :) e sim :)
08/05/2021 15:13:45,Não ,Não ,Não ,Sim
09/05/2021 12:25:13,Claro!,Sim,"Apenas as mais simples, como arroz, feijão, uma massa ","Com certeza, sempre bom ter de precaução"
09/05/2021 14:49:53,Sim,Sim,Não e não,Com certeza!
09/05/2021 19:06:48,Sim gostaria,Sim,"Sim sei como preparar, tenho os ingredientes",Usaria 